site,round,col_date
Green Bay,1,1/15/2020
Green Bay,2,1/30/2020
Green Bay,3,2/12/2020
Green Bay,4,2/26/2020
Green Bay,5,3/30/2020
Green Bay,6,4/13/2020
Green Bay,7,4/27/2020
Green Bay,8,5/11/2020
Madison,1,1/20/2020
Madison,2,2/3/2020
Madison,3,2/18/2020
Madison,4,3/3/2020
Madison,5,4/3/2020
Madison,6,4/10/2020
Madison,7,4/26/2020
Madison,8,5/8/2020
Illinois,1,1/15/2020
Illinois,2,1/30/2020
Illinois,3,2/12/2020
Illinois,4,2/26/2020
Illinois,5,3/27/2020
Illinois,6,4/10/2020
Illinois,7,4/24/2020
Illinois,8,5/11/2020
